stat,Dis,crop,year,sea,prod,met,Unnamed: 7,Unnamed: 8,Unnamed: 9
Tamil Nadu,Coimbatore,Castor seed,2002,Kharif,168,Hectare,62.0,Tonnes,0.369047619
Tamil Nadu,Cuddalore,Castor seed,2002,Kharif,136,Hectare,94.0,Tonnes,0.691176471
Tamil Nadu,Dharmapuri,Castor seed,2002,Kharif,3187,Hectare,1091.0,Tonnes,0.342328208
Tamil Nadu,Dindigul,Castor seed,2002,Kharif,52,Hectare,21.0,Tonnes,0.403846154
Tamil Nadu,Erode,Castor seed,2002,Kharif,852,Hectare,237.0,Tonnes,0.278169014
Tamil Nadu,Karur,Castor seed,2002,Kharif,6,Hectare,3.0,Tonnes,0.5
Tamil Nadu,Madurai,Castor seed,2002,Kharif,20,Hectare,8.0,Tonnes,0.4
Tamil Nadu,Namakkal,Castor seed,2002,Kharif,8127,Hectare,2445.0,Tonnes,0.300849022
Tamil Nadu,Perambalur,Castor seed,2002,Kharif,368,Hectare,125.0,Tonnes,0.339673913
Tamil Nadu,Salem,Castor seed,2002,Kharif,3485,Hectare,1049.0,Tonnes,0.301004304
Tamil Nadu,Theni,Castor seed,2002,Kharif,75,Hectare,14.0,Tonnes,0.186666667
Tamil Nadu,Thoothukudi,Castor seed,2002,Kharif,73,Hectare,22.0,Tonnes,0.301369863
Tamil Nadu,Tiruchirappalli,Castor seed,2002,Kharif,337,Hectare,111.0,Tonnes,0.329376855
Tamil Nadu,Tirunelveli,Castor seed,2002,Kharif,37,Hectare,9.0,Tonnes,0.243243243
Tamil Nadu,Tiruvannamalai,Castor seed,2002,Kharif,2,Hectare,1.0,Tonnes,0.5
Tamil Nadu,Vellore,Castor seed,2002,Kharif,787,Hectare,293.0,Tonnes,0.372299873
Tamil Nadu,Villupuram,Castor seed,2002,Kharif,14,Hectare,10.0,Tonnes,0.714285714
Tamil Nadu,Virudhunagar,Castor seed,2002,Kharif,23,Hectare,5.0,Tonnes,0.217391304
Tamil Nadu,Coimbatore,Coconut,2002,whole_year,99250,Hectare,630000000.0,Nuts,6347.607053
Tamil Nadu,Cuddalore,Coconut,2002,whole_year,2670,Hectare,35700000.0,Nuts,13370.78652
Tamil Nadu,Dharmapuri,Coconut,2002,whole_year,20229,Hectare,155900000.0,Nuts,7706.757625
Tamil Nadu,Dindigul,Coconut,2002,whole_year,24277,Hectare,211500000.0,Nuts,8711.949582
Tamil Nadu,Erode,Coconut,2002,whole_year,17377,Hectare,161700000.0,Nuts,9305.403695
Tamil Nadu,Kanchipuram,Coconut,2002,whole_year,4564,Hectare,14400000.0,Nuts,3155.127082
Tamil Nadu,Kanniyakumari,Coconut,2002,whole_year,22667,Hectare,338200000.0,Nuts,14920.36882
Tamil Nadu,Karur,Coconut,2002,whole_year,4331,Hectare,51400000.0,Nuts,11867.92888
Tamil Nadu,Madurai,Coconut,2002,whole_year,10545,Hectare,98100000.0,Nuts,9302.987198
Tamil Nadu,Nagapattinam,Coconut,2002,whole_year,3660,Hectare,25900000.0,Nuts,7076.502732
Tamil Nadu,Namakkal,Coconut,2002,whole_year,2174,Hectare,21000000.0,Nuts,9659.613615
Tamil Nadu,Perambalur,Coconut,2002,whole_year,882,Hectare,5500000.0,Nuts,6235.827664
Tamil Nadu,Pudukkottai,Coconut,2002,whole_year,5105,Hectare,25600000.0,Nuts,5014.691479
Tamil Nadu,Ramanathapuram,Coconut,2002,whole_year,9120,Hectare,48100000.0,Nuts,5274.122807
Tamil Nadu,Salem,Coconut,2002,whole_year,11720,Hectare,80800000.0,Nuts,6894.197952
Tamil Nadu,Sivaganga,Coconut,2002,whole_year,5861,Hectare,36100000.0,Nuts,6159.358471
Tamil Nadu,Thanjavur,Coconut,2002,whole_year,23934,Hectare,224100000.0,Nuts,9363.248935
Tamil Nadu,Theni,Coconut,2002,whole_year,14284,Hectare,141100000.0,Nuts,9878.185382
Tamil Nadu,Thiruvallur,Coconut,2002,whole_year,1091,Hectare,8200000.0,Nuts,7516.04033
Tamil Nadu,Thiruvarur,Coconut,2002,whole_year,4742,Hectare,72400000.0,Nuts,15267.81949
Tamil Nadu,Thoothukudi,Coconut,2002,whole_year,5586,Hectare,26700000.0,Nuts,4779.80666
Tamil Nadu,Tiruchirappalli,Coconut,2002,whole_year,5991,Hectare,84200000.0,Nuts,14054.41496
Tamil Nadu,Tirunelveli,Coconut,2002,whole_year,15423,Hectare,106300000.0,Nuts,6892.303702
Tamil Nadu,Tiruvannamalai,Coconut,2002,whole_year,1023,Hectare,7300000.0,Nuts,7135.874878
Tamil Nadu,Vellore,Coconut,2002,whole_year,18690,Hectare,171300000.0,Nuts,9165.329053
Tamil Nadu,Villupuram,Coconut,2002,whole_year,2118,Hectare,14300000.0,Nuts,6751.652502
Tamil Nadu,Virudhunagar,Coconut,2002,whole_year,8511,Hectare,64900000.0,Nuts,7625.425919
Tamil Nadu,Coimbatore,Coriander,2002,whole_year,680,Hectare,323.0,Tonnes,0.475
Tamil Nadu,Cuddalore,Coriander,2002,whole_year,4182,Hectare,769.0,Tonnes,0.183883309
Tamil Nadu,Dharmapuri,Coriander,2002,whole_year,808,Hectare,150.0,Tonnes,0.185643564
Tamil Nadu,Dindigul,Coriander,2002,whole_year,175,Hectare,33.0,Tonnes,0.188571429
Tamil Nadu,Karur,Coriander,2002,whole_year,7,Hectare,1.0,Tonnes,0.142857143
Tamil Nadu,Madurai,Coriander,2002,whole_year,338,Hectare,63.0,Tonnes,0.186390533
Tamil Nadu,Namakkal,Coriander,2002,whole_year,102,Hectare,19.0,Tonnes,0.18627451
Tamil Nadu,Perambalur,Coriander,2002,whole_year,6021,Hectare,1535.0,Tonnes,0.25494104
Tamil Nadu,Pudukkottai,Coriander,2002,whole_year,15,Hectare,3.0,Tonnes,0.2
Tamil Nadu,Ramanathapuram,Coriander,2002,whole_year,1130,Hectare,77.0,Tonnes,0.068141593
Tamil Nadu,Salem,Coriander,2002,whole_year,91,Hectare,17.0,Tonnes,0.186813187
Tamil Nadu,Sivaganga,Coriander,2002,whole_year,3,Hectare,1.0,Tonnes,0.333333333
Tamil Nadu,Thanjavur,Coriander,2002,whole_year,1,Hectare,0.1,Tonnes,0.1
Tamil Nadu,Theni,Coriander,2002,whole_year,7,Hectare,1.0,Tonnes,0.142857143
Tamil Nadu,Thiruvallur,Coriander,2002,whole_year,5,Hectare,1.0,Tonnes,0.2
Tamil Nadu,Thoothukudi,Coriander,2002,whole_year,5812,Hectare,700.0,Tonnes,0.120440468
Tamil Nadu,Tiruchirappalli,Coriander,2002,whole_year,1643,Hectare,210.0,Tonnes,0.127814973
Tamil Nadu,Tirunelveli,Coriander,2002,whole_year,59,Hectare,10.0,Tonnes,0.169491525
Tamil Nadu,Tiruvannamalai,Coriander,2002,whole_year,27,Hectare,5.0,Tonnes,0.185185185
Tamil Nadu,Vellore,Coriander,2002,whole_year,108,Hectare,20.0,Tonnes,0.185185185
Tamil Nadu,Villupuram,Coriander,2002,whole_year,243,Hectare,45.0,Tonnes,0.185185185
Tamil Nadu,Virudhunagar,Coriander,2002,whole_year,3869,Hectare,724.0,Tonnes,0.187128457
Tamil Nadu,Coimbatore,Cotton(lint),2002,Kharif,5103,Hectare,3024.0,Bales,0.592592593
